id,date,t_arr,t_dep,e_dem,ev_model
CE0000,2025-01-01,08:59:00,12:12:00,18.585,byd_qin
CE0001,2025-01-01,09:07:00,17:45:00,10.720000000000002,renault_kwid
CE0002,2025-01-01,09:08:00,17:48:00,13.469999999999999,byd_dolphin
CE0003,2025-01-01,09:09:00,12:02:00,12.060000000000004,renault_kwid
CE0004,2025-01-01,09:09:00,12:14:00,8.04,renault_kwid
CE0005,2025-01-01,09:10:00,12:16:00,9.38,renault_kwid
CE0006,2025-01-01,09:11:00,17:45:00,9.38,renault_kwid
CE0007,2025-01-01,09:12:00,17:39:00,17.960000000000004,byd_dolphin
CE0008,2025-01-01,09:15:00,17:34:00,18.585,byd_qin
CE0009,2025-01-01,09:15:00,17:37:00,13.400000000000006,renault_kwid
CE0010,2025-01-01,09:15:00,17:40:00,26.55000000000001,byd_qin
CE0011,2025-01-01,09:19:00,17:45:00,9.38,renault_kwid
CE0012,2025-01-01,09:22:00,17:31:00,21.779999999999998,hyundai_ioniq
CE0013,2025-01-01,09:22:00,17:41:00,26.55000000000001,byd_qin
CE0014,2025-01-01,09:22:00,12:13:00,12.060000000000004,renault_kwid
CE0015,2025-01-01,09:22:00,17:46:00,24.69500000000001,byd_dolphin
CE0016,2025-01-01,09:22:00,12:08:00,10.720000000000002,renault_kwid
CE0017,2025-01-01,09:25:00,12:11:00,15.715000000000002,byd_dolphin
CE0018,2025-01-01,09:27:00,17:46:00,9.38,renault_kwid
CE0019,2025-01-01,09:27:00,17:32:00,8.04,renault_kwid
CE0020,2025-01-01,09:30:00,12:16:00,15.715000000000002,byd_dolphin
CE0021,2025-01-01,09:30:00,17:49:00,13.400000000000006,renault_kwid
CE0022,2025-01-01,09:38:00,12:15:00,36.30000000000001,hyundai_ioniq
CE0023,2025-01-01,14:31:00,17:33:00,15.715000000000002,byd_dolphin
CE0024,2025-01-01,14:39:00,17:48:00,13.469999999999999,byd_dolphin
CE0025,2025-01-01,14:45:00,17:30:00,13.469999999999999,byd_dolphin
CE0026,2025-01-01,14:46:00,17:28:00,13.400000000000006,renault_kwid
CE0027,2025-01-01,14:49:00,17:34:00,15.715000000000002,byd_dolphin
CE0028,2025-01-01,14:51:00,17:40:00,15.715000000000002,byd_dolphin
CE0029,2025-01-01,14:57:00,17:34:00,12.060000000000004,renault_kwid
CE0030,2025-01-01,14:57:00,17:42:00,15.93,byd_qin
CE0031,2025-01-02,08:55:00,17:34:00,10.720000000000002,renault_kwid
CE0032,2025-01-02,09:03:00,17:36:00,8.04,renault_kwid
CE0033,2025-01-02,09:05:00,17:46:00,8.04,renault_kwid
CE0034,2025-01-02,09:07:00,17:37:00,22.45000000000001,byd_dolphin
CE0035,2025-01-02,09:08:00,17:16:00,14.740000000000007,renault_kwid
CE0036,2025-01-02,09:11:00,17:49:00,13.400000000000006,renault_kwid
CE0037,2025-01-02,09:13:00,12:05:00,8.04,renault_kwid
CE0038,2025-01-02,09:14:00,17:44:00,15.715000000000002,byd_dolphin
CE0039,2025-01-02,09:14:00,17:25:00,15.715000000000002,byd_dolphin
CE0040,2025-01-02,09:17:00,12:16:00,21.240000000000006,byd_qin
CE0041,2025-01-02,09:17:00,12:11:00,22.45000000000001,byd_dolphin
CE0042,2025-01-02,09:17:00,17:39:00,22.45000000000001,byd_dolphin
CE0043,2025-01-02,09:18:00,17:45:00,26.55000000000001,byd_qin
CE0044,2025-01-02,09:21:00,12:08:00,13.400000000000006,renault_kwid
CE0045,2025-01-02,09:21:00,12:05:00,8.04,renault_kwid
CE0046,2025-01-02,09:24:00,17:44:00,18.585,byd_qin
CE0047,2025-01-02,09:26:00,12:14:00,8.04,renault_kwid
CE0048,2025-01-02,09:27:00,17:40:00,26.55000000000001,byd_qin
CE0049,2025-01-02,09:28:00,17:51:00,18.585,byd_qin
CE0050,2025-01-02,09:30:00,17:47:00,15.715000000000002,byd_dolphin
CE0051,2025-01-02,09:31:00,12:17:00,23.895000000000007,byd_qin
CE0052,2025-01-02,14:36:00,17:46:00,21.779999999999998,hyundai_ioniq
CE0053,2025-01-02,14:38:00,17:30:00,13.469999999999999,byd_dolphin
CE0054,2025-01-02,14:40:00,17:33:00,9.38,renault_kwid
CE0055,2025-01-02,14:41:00,17:50:00,29.040000000000003,hyundai_ioniq
CE0056,2025-01-02,14:42:00,17:39:00,9.38,renault_kwid
CE0057,2025-01-02,14:46:00,17:46:00,18.585,byd_qin
CE0058,2025-01-02,14:47:00,17:45:00,29.040000000000003,hyundai_ioniq
CE0059,2025-01-02,14:49:00,17:42:00,9.38,renault_kwid
CE0060,2025-01-03,08:53:00,17:46:00,23.895000000000007,byd_qin
CE0061,2025-01-03,09:03:00,12:18:00,10.720000000000002,renault_kwid
CE0062,2025-01-03,09:05:00,17:48:00,17.960000000000004,byd_dolphin
CE0063,2025-01-03,09:06:00,17:40:00,18.585,byd_qin
CE0064,2025-01-03,09:07:00,12:15:00,32.67000000000001,hyundai_ioniq
CE0065,2025-01-03,09:08:00,12:15:00,12.060000000000004,renault_kwid
CE0066,2025-01-03,09:08:00,17:40:00,23.895000000000007,byd_qin
CE0067,2025-01-03,09:14:00,17:38:00,10.720000000000002,renault_kwid
CE0068,2025-01-03,09:17:00,17:27:00,17.960000000000004,byd_dolphin
CE0069,2025-01-03,09:19:00,17:44:00,13.469999999999999,byd_dolphin
CE0070,2025-01-03,09:19:00,12:16:00,13.400000000000006,renault_kwid
CE0071,2025-01-03,09:20:00,12:15:00,17.960000000000004,byd_dolphin
CE0072,2025-01-03,09:22:00,17:38:00,18.585,byd_qin
CE0073,2025-01-03,09:23:00,17:40:00,15.715000000000002,byd_dolphin
CE0074,2025-01-03,09:23:00,12:13:00,15.93,byd_qin
CE0075,2025-01-03,09:25:00,17:48:00,8.04,renault_kwid
CE0076,2025-01-03,09:27:00,17:36:00,9.38,renault_kwid
CE0077,2025-01-03,09:27:00,17:42:00,15.715000000000002,byd_dolphin
CE0078,2025-01-03,09:38:00,17:51:00,9.38,renault_kwid
CE0079,2025-01-03,09:46:00,11:59:00,10.720000000000002,renault_kwid
CE0080,2025-01-03,14:41:00,17:49:00,8.04,renault_kwid
CE0081,2025-01-03,14:45:00,17:35:00,15.715000000000002,byd_dolphin
CE0082,2025-01-03,14:47:00,17:48:00,8.04,renault_kwid
CE0083,2025-01-03,14:57:00,17:35:00,8.04,renault_kwid
CE0084,2025-01-04,09:07:00,17:46:00,15.715000000000002,byd_dolphin
CE0085,2025-01-04,09:13:00,17:51:00,15.93,byd_qin
CE0086,2025-01-04,09:22:00,17:44:00,21.240000000000006,byd_qin
CE0087,2025-01-04,14:42:00,17:41:00,8.04,renault_kwid
CE0088,2025-01-05,09:05:00,17:36:00,15.93,byd_qin
CE0089,2025-01-05,09:11:00,12:18:00,9.38,renault_kwid
CE0090,2025-01-05,09:14:00,12:16:00,8.04,renault_kwid
CE0091,2025-01-05,09:22:00,17:42:00,25.41,hyundai_ioniq
CE0092,2025-01-05,14:34:00,17:44:00,29.040000000000003,hyundai_ioniq
CE0093,2025-01-06,08:55:00,17:28:00,30.0,tesla_model_3
CE0094,2025-01-06,08:58:00,12:14:00,13.469999999999999,byd_dolphin
CE0095,2025-01-06,08:59:00,17:46:00,8.04,renault_kwid
CE0096,2025-01-06,09:00:00,17:40:00,13.469999999999999,byd_dolphin
CE0097,2025-01-06,09:00:00,17:53:00,17.960000000000004,byd_dolphin
CE0098,2025-01-06,09:01:00,17:53:00,20.205000000000005,byd_dolphin
CE0099,2025-01-06,09:01:00,17:29:00,10.720000000000002,renault_kwid
CE0100,2025-01-06,09:02:00,17:57:00,29.040000000000003,hyundai_ioniq
CE0101,2025-01-06,09:08:00,17:37:00,14.740000000000007,renault_kwid
CE0102,2025-01-06,09:09:00,17:37:00,10.720000000000002,renault_kwid
CE0103,2025-01-06,09:10:00,17:40:00,10.720000000000002,renault_kwid
CE0104,2025-01-06,09:11:00,17:36:00,15.93,byd_qin
CE0105,2025-01-06,09:12:00,17:44:00,12.060000000000004,renault_kwid
CE0106,2025-01-06,09:14:00,17:47:00,20.205000000000005,byd_dolphin
CE0107,2025-01-06,09:18:00,17:40:00,24.69500000000001,byd_dolphin
CE0108,2025-01-06,09:22:00,12:17:00,25.41,hyundai_ioniq
CE0109,2025-01-06,09:23:00,12:19:00,10.720000000000002,renault_kwid
CE0110,2025-01-06,09:23:00,17:49:00,13.469999999999999,byd_dolphin
CE0111,2025-01-06,09:23:00,17:48:00,9.38,renault_kwid
CE0112,2025-01-06,09:24:00,12:10:00,15.93,byd_qin
CE0113,2025-01-06,09:25:00,12:14:00,21.779999999999998,hyundai_ioniq
CE0114,2025-01-06,09:25:00,12:19:00,15.93,byd_qin
CE0115,2025-01-06,09:26:00,17:39:00,15.715000000000002,byd_dolphin
CE0116,2025-01-06,09:28:00,12:16:00,25.41,hyundai_ioniq
CE0117,2025-01-06,09:32:00,17:52:00,21.240000000000006,byd_qin
CE0118,2025-01-06,14:29:00,17:50:00,9.38,renault_kwid
CE0119,2025-01-06,14:34:00,17:51:00,9.38,renault_kwid
CE0120,2025-01-06,14:39:00,17:39:00,29.040000000000003,hyundai_ioniq
CE0121,2025-01-06,14:47:00,17:45:00,12.060000000000004,renault_kwid
CE0122,2025-01-06,14:52:00,17:47:00,15.715000000000002,byd_dolphin
CE0123,2025-01-06,14:55:00,17:39:00,8.04,renault_kwid
CE0124,2025-01-07,09:01:00,12:19:00,13.400000000000006,renault_kwid
CE0125,2025-01-07,09:05:00,17:45:00,15.93,byd_qin
CE0126,2025-01-07,09:09:00,17:44:00,21.240000000000006,byd_qin
CE0127,2025-01-07,09:10:00,12:14:00,15.93,byd_qin
CE0128,2025-01-07,09:11:00,17:44:00,8.04,renault_kwid
CE0129,2025-01-07,09:11:00,12:22:00,17.960000000000004,byd_dolphin
CE0130,2025-01-07,09:12:00,17:34:00,12.060000000000004,renault_kwid
CE0131,2025-01-07,09:12:00,12:12:00,15.715000000000002,byd_dolphin
CE0132,2025-01-07,09:14:00,17:47:00,8.04,renault_kwid
CE0133,2025-01-07,09:14:00,17:29:00,9.38,renault_kwid
CE0134,2025-01-07,09:14:00,17:44:00,9.38,renault_kwid
CE0135,2025-01-07,09:14:00,17:44:00,15.93,byd_qin
CE0136,2025-01-07,09:15:00,12:18:00,13.469999999999999,byd_dolphin
CE0137,2025-01-07,09:16:00,12:15:00,12.060000000000004,renault_kwid
CE0138,2025-01-07,09:17:00,17:41:00,10.720000000000002,renault_kwid
CE0139,2025-01-07,09:17:00,17:47:00,12.060000000000004,renault_kwid
CE0140,2025-01-07,09:18:00,17:47:00,18.585,byd_qin
CE0141,2025-01-07,09:19:00,17:46:00,10.720000000000002,renault_kwid
CE0142,2025-01-07,09:20:00,17:31:00,9.38,renault_kwid
CE0143,2025-01-07,09:20:00,17:34:00,12.060000000000004,renault_kwid
CE0144,2025-01-07,09:23:00,17:42:00,15.715000000000002,byd_dolphin
CE0145,2025-01-07,09:26:00,17:45:00,18.585,byd_qin
CE0146,2025-01-07,09:27:00,17:52:00,17.960000000000004,byd_dolphin
CE0147,2025-01-07,14:30:00,17:45:00,12.060000000000004,renault_kwid
CE0148,2025-01-07,14:34:00,17:45:00,8.04,renault_kwid
CE0149,2025-01-07,14:35:00,17:50:00,13.469999999999999,byd_dolphin
CE0150,2025-01-07,14:38:00,17:38:00,12.060000000000004,renault_kwid
CE0151,2025-01-07,14:39:00,17:47:00,8.04,renault_kwid
CE0152,2025-01-07,14:43:00,17:36:00,9.38,renault_kwid
CE0153,2025-01-07,14:53:00,17:43:00,8.04,renault_kwid
CE0154,2025-01-08,08:55:00,17:42:00,13.469999999999999,byd_dolphin
CE0155,2025-01-08,09:00:00,17:48:00,9.38,renault_kwid
CE0156,2025-01-08,09:00:00,12:16:00,9.38,renault_kwid
CE0157,2025-01-08,09:01:00,12:20:00,40.00000000000001,tesla_model_3
CE0158,2025-01-08,09:01:00,12:18:00,30.0,tesla_model_3
CE0159,2025-01-08,09:02:00,12:10:00,9.38,renault_kwid
CE0160,2025-01-08,09:05:00,17:40:00,26.55000000000001,byd_qin
CE0161,2025-01-08,09:07:00,12:13:00,15.93,byd_qin
CE0162,2025-01-08,09:08:00,17:41:00,9.38,renault_kwid
CE0163,2025-01-08,09:09:00,17:30:00,8.04,renault_kwid
CE0164,2025-01-08,09:11:00,17:40:00,21.779999999999998,hyundai_ioniq
